Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR14514177_1	SRR14514177_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24229151.0	2.4 Gbp	0.0	100.0	42.0	84.58491323016149	100.0	100	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	warn
SRR14514177_2	SRR14514177_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24229151.0	2.4 Gbp	0.0	100.0	43.0	68.58226919360165	100.0	100	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	warn
SRR14514178_1	SRR14514178_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26637363.0	2.6 Gbp	0.0	100.0	42.0	85.81474568823931	100.0	100	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	warn
SRR14514178_2	SRR14514178_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26637363.0	2.6 Gbp	0.0	100.0	42.0	63.91636923367382	100.0	100	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	warn
SRR14514179_1	SRR14514179_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37231806.0	3.7 Gbp	0.0	100.0	42.0	83.30822789899447	100.0	100	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	fail
SRR14514179_2	SRR14514179_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37231806.0	3.7 Gbp	0.0	100.0	42.0	65.89600197101907	100.0	100	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	fail
SRR14514180_1	SRR14514180_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24038371.0	2.4 Gbp	0.0	100.0	42.0	81.69840554307265	100.0	100	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	warn
SRR14514180_2	SRR14514180_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24038371.0	2.4 Gbp	0.0	100.0	43.0	57.00522123606741	100.0	100	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	warn
SRR14514181_1	SRR14514181_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32468866.0	3.2 Gbp	0.0	100.0	44.0	75.49597717443609	100.0	100	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	warn
SRR14514181_2	SRR14514181_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32468866.0	3.2 Gbp	0.0	100.0	44.0	54.899702642263456	100.0	100	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	warn
SRR14514182_1	SRR14514182_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58144183.0	5.8 Gbp	0.0	100.0	41.0	82.99139088674053	100.0	100	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	warn
SRR14514182_2	SRR14514182_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58144183.0	5.8 Gbp	0.0	100.0	42.0	62.65281520535259	100.0	100	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	warn
SRR14514183_1	SRR14514183_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25928011.0	2.5 Gbp	0.0	100.0	43.0	86.54928264300736	100.0	100	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	pass
SRR14514183_2	SRR14514183_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25928011.0	2.5 Gbp	0.0	100.0	43.0	66.52472566761244	100.0	100	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
