Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR14514228_1	21.063210664342478	42.0	96.65266986454263	100	18.181818181818183	29383045.0
SRR14514228_2	37.07139692599765	42.0	96.50128140225085	100	9.090909090909092	29383045.0
SRR14514229_1	22.090787402324153	42.0	96.73556013607748	100	9.090909090909092	52808150.0
SRR14514229_2	40.34321657215392	42.0	96.58908831307289	100	9.090909090909092	52808150.0
SRR14514230_1	25.796113432714378	43.0	98.08669034700874	100	18.181818181818183	25897993.0
SRR14514230_2	43.18876957475776	43.0	97.92497434067575	100	18.181818181818183	25897993.0
SRR14514231_1	16.634890280884363	41.0	96.87082004845782	100	9.090909090909092	37832496.0
SRR14514231_2	35.406770243909264	41.0	96.6822627827675	100	9.090909090909092	37832496.0
SRR14514232_1	22.70014850040313	44.0	96.78396330821165	100	9.090909090909092	30766121.0
SRR14514232_2	40.91550308603883	44.0	96.57627303747522	100	9.090909090909092	30766121.0
SRR14514233_1	16.044571150864172	42.0	96.26687712705586	100	9.090909090909092	32660461.0
SRR14514233_2	34.98612313895758	42.0	96.07585232798766	100	9.090909090909092	32660461.0
SRR14514234_1	17.781995909313537	41.0	97.93553525551131	100	9.090909090909092	38146277.0
SRR14514234_2	37.32260743344198	41.0	97.77760576739901	100	9.090909090909092	38146277.0
SRR14514235_1	23.41695245839962	46.0	97.17726108759689	100	9.090909090909092	20987776.0
SRR14514235_2	42.08681675707834	46.0	97.02657775649979	100	9.090909090909092	20987776.0
SRR14514236_1	16.022414563712957	41.0	96.9428551872517	100	9.090909090909092	28621023.0
SRR14514236_2	32.39416180509359	41.0	96.76256764127544	100	9.090909090909092	28621023.0
SRR14514237_1	21.840884342305074	44.0	96.90999982099288	100	9.090909090909092	25864893.0
SRR14514237_2	42.460599053108986	44.0	96.67829331441658	100	9.090909090909092	25864893.0
SRR14514238_1	24.608729530537573	44.0	97.73093358373741	100	18.181818181818183	29879173.0
SRR14514238_2	45.85393550122885	44.0	97.39655257526707	100	9.090909090909092	29879173.0
SRR14514239_1	17.08788266233273	41.0	97.72008927430912	100	9.090909090909092	37968370.0
SRR14514239_2	36.36548626885695	41.0	97.54518579543974	100	9.090909090909092	37968370.0
SRR14514240_1	12.058347511249039	41.0	96.27152546935515	100	9.090909090909092	19992909.0
SRR14514240_2	28.765160632202225	41.0	96.06707788246322	100	9.090909090909092	19992909.0
SRR14514241_1	17.8999766376635	42.0	97.27712974532643	100	9.090909090909092	23865060.0
SRR14514241_2	38.253319960025024	42.0	97.15243531757305	100	9.090909090909092	23865060.0
SRR14514242_1	16.335387371454644	41.0	97.71976624729032	100	9.090909090909092	31658756.0
SRR14514242_2	34.601786016977584	41.0	97.53381137275261	100	9.090909090909092	31658756.0
SRR14514243_1	17.038069615718044	41.0	97.86022409549558	100	9.090909090909092	27725680.0
SRR14514243_2	33.6046844123688	41.0	97.66036742831916	100	9.090909090909092	27725680.0
SRR14514244_1	11.551325051852373	40.0	97.72141708457629	100	9.090909090909092	21214316.0
SRR14514244_2	28.313059741797034	40.0	97.4747006691142	100	9.090909090909092	21214316.0
SRR14514245_1	21.16111296163396	44.0	97.5985864229818	100	18.181818181818183	21231245.0
SRR14514245_2	38.90691680920525	44.0	97.55864510065237	100	9.090909090909092	21231245.0
SRR14514246_1	13.85482352640939	40.0	98.40815866278842	100	9.090909090909092	25212465.0
SRR14514246_2	31.49572774577058	40.0	98.27511090248414	100	9.090909090909092	25212465.0
SRR14514247_1	18.59703387394333	43.0	97.70815702823523	100	18.181818181818183	14306166.0
SRR14514247_2	32.94953508205167	43.0	97.46891123729446	100	9.090909090909092	14306166.0
SRR14514248_1	22.446973504412753	43.0	96.35889471572467	100	18.181818181818183	31976570.0
SRR14514248_2	39.047127609672394	43.0	96.29060371390678	100	9.090909090909092	31976570.0
SRR14514249_1	23.66503719965101	43.0	96.7764485771909	100	18.181818181818183	40061172.0
SRR14514249_2	40.51208523215294	43.0	96.50623181967816	100	9.090909090909092	40061172.0
SRR14514250_1	23.31099461817331	41.0	95.08882715576713	100	9.090909090909092	26889581.0
SRR14514250_2	39.05080641588942	41.0	94.88932371240742	100	9.090909090909092	26889581.0
SRR14514251_1	36.480741134322315	42.0	97.2085858257892	100	18.181818181818183	26256065.0
SRR14514251_2	49.82692353942082	42.0	97.07881740847306	100	18.181818181818183	26256065.0
SRR14514252_1	16.89745551609741	43.0	97.39390563739805	100	9.090909090909092	21128116.0
SRR14514252_2	35.9784140790202	42.0	97.08385414014198	100	9.090909090909092	21128116.0
SRR14514253_1	26.834639035489104	44.0	98.09863487635394	100	9.090909090909092	29938680.0
SRR14514253_2	44.73622853845616	44.0	97.68179472174458	100	9.090909090909092	29938680.0
SRR14514254_1	18.446460369618777	42.0	97.41840613711081	100	9.090909090909092	29103206.0
